tweets,classe_ajuste_fino,score_ajuste_fino
0,"Ao longo do dia estou recebendo denúncias, inclusive de pessoas presas há mais de 16h na estrada, sem água e sem comida, pelos bloqueios ilegais dos caminhoneiros.

Por isso, enviei requerimento para que a PRF nos dê informações sobre as dimensões dos atos e providencias tomadas. https://t.co/g0zRPmBLLX",False,0.9883630871772766
1,@ErikakHilton Simplesmente a maior ❤️❤️❤️ https://t.co/SBA5EPiN7k,False,0.9978725910186768
2,@PalasAthenas18 Hahahhaha 💜💜💜,False,0.9552066922187805
3,"Ao longo do dia estou recebendo denúncias, inclusive de pessoas presas há mais de 16h na estrada, sem água e sem comida, pelos bloqueios ilegais dos caminhoneiros.

Por isso, enviei requerimento para que a PRF nos dê informações sobre as dimensões dos atos e providencias tomadas. https://t.co/g0zRPmBLLX",False,0.9883630871772766
4,@ErikakHilton É isso aí...,False,0.9648331999778748
5,@Mendes2588 🫶🏾🫶🏾,False,0.9323309063911438
6,@ErikakHilton 🤏🏻❤,False,0.9224381446838379
7,"Ao longo do dia estou recebendo denúncias, inclusive de pessoas presas há mais de 16h na estrada, sem água e sem comida, pelos bloqueios ilegais dos caminhoneiros.

Por isso, enviei requerimento para que a PRF nos dê informações sobre as dimensões dos atos e providencias tomadas. https://t.co/g0zRPmBLLX",False,0.9883630871772766
8,@juknobel 🫶🏾,False,0.9382023811340332
9,"Ao longo do dia estou recebendo denúncias, inclusive de pessoas presas há mais de 16h na estrada, sem água e sem comida, pelos bloqueios ilegais dos caminhoneiros.

Por isso, enviei requerimento para que a PRF nos dê informações sobre as dimensões dos atos e providencias tomadas. https://t.co/g0zRPmBLLX",False,0.9883630871772766
10,@ErikakHilton É isso aí...,False,0.9648331999778748
11,@Mendes2588 🫶🏾🫶🏾,False,0.9323309063911438
12,@ErikakHilton Simplesmente a maior ❤️❤️❤️ https://t.co/SBA5EPiN7k,False,0.9978725910186768
13,@PalasAthenas18 Hahahhaha 💜💜💜,False,0.9552066922187805
14,@juknobel 🫶🏾,False,0.9382023811340332
15,"@ErikakHilton Ah obrigado, Erika, já tava aflito sem saber se alguém já tinha tomado providências.",False,0.9949782490730286
16,"@ErikakHilton Pelo que eu entendi, a PRF tá adicionando eles nos close friends do instagram.",False,0.9510921239852905
17,@ErikakHilton É de uma vergonha sem tamanho... PRF tá praticamente apoiando esse circo do mi-mi-mi. https://t.co/zmaUHAOW2J,True,0.92866051197052
18,"@ErikakHilton Pior de tudo é q eles não estão fazendo nada, estão encostados do lado dos caminhominios",False,0.943236231803894
19,@ErikakHilton @SaraPtt13 @rodrigopacheco @randolfeap,False,0.970152735710144
20,"@ErikakHilton A gata em uma semana trabalhou mais que a familícia inteira em décadas, você é centelha de esperança",False,0.9886761903762817
21,"@ErikakHilton mona, a senhora faz tudo mesmo heim, qualquer coisa que acontece eu já penso ""Erika Hilton já deve estar dando um jeito"" kkkk",False,0.959601640701294
22,@ErikakHilton Eita como trabalha,False,0.9975205063819885
23,@ErikakHilton A maior!!! https://t.co/tZQsLv7T44,False,0.9961197376251221
24,@ErikakHilton Vc é luz!,False,0.9340590834617615
25,@ErikakHilton Acho q o aparelhado não se interessa em transparência,False,0.8533718585968018
26,"@ErikakHilton Crianças, idosos e doentes no meio do nada sem água e sem comida aguardando por ajuda",False,0.9787639379501343
27,@ErikakHilton Essa Vereadora e Deputada trabalha de vdd.  👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,False,0.9821993112564087
28,@ErikakHilton Sensata e necessária! ✨🤩,False,0.9966705441474915
29,@ErikakHilton Criancinhas birrentas kkk,True,0.9957923889160156
30,@ErikakHilton Minha deputada sempre fazendo tudo!,False,0.9840429425239563
31,@ErikakHilton EU TE AMO ERIKA HILTON VOCÊ É PERFEITA,False,0.9982293248176575
